Species_name,Symbiotic_type,C-selection,S-selection,R-selection
Abuta racemosa,AM,29.59454705,63.12209932,7.283353622
Abutilon theophrasti,AM,66.59428353,14.06769819,19.33801828
Acalypha diversifolia,AM,43.51862074,35.93207922,20.54930004
Acalypha macrostachya,AM,67.90702864,11.30006603,20.79290533
Acalypha virginica,AM,28.0156246,30.08275488,41.90162052
Acer campestre,AM,42.28996165,29.41041816,28.29962019
Acer monspessulanum,AM,23.48608247,68.82589177,7.688025762
Acer negundo,AM,50.38023457,23.31181719,26.30794824
Acer opalus,AM,47.54938263,25.57365408,26.8769633
Acer platanoides,AM,48.75654458,35.31339013,15.93006528
Acer pseudoplatanus,AM,37.5106324,54.93481512,7.554552481
Acer saccharum,AM,27.13081811,56.44055705,16.42862484
Achillea atrata,AM,10.12705181,25.27106966,64.60187853
Achillea cartilaginea,AM,23.47540561,26.19460577,50.32998862
Achillea clavennae,AM,48.54663932,0,51.45336068
Achillea collina,AM,41.02041988,15.78748376,43.19209635
Achillea macrophylla,AM,64.70771791,0,35.29228209
Achillea millefolium,AM,22.01773394,58.80502385,19.17724221
Achillea moschata,AM,5.800865115,58.93901372,35.26012117
Achillea pannonica,AM,23.79144936,76.20855064,0
Achillea roseoalba,AM,36.20319407,14.11063928,49.68616665
Achnatherum calamagrostis,AM,43.36923824,40.85725177,15.77350999
Clinopodium acinos,AM,2.874904945,50.89441239,46.23068267
Aconitum lycoctonum,AM,74.02777994,0,25.97222006
Aconitum napellus,AM,66.90326408,3.795544465,29.30119145
Aconitum nasutum,AM,47.27834709,9.316052327,43.40560058
Actaea spicata,AM,60.90342236,14.82036655,24.27621109
Adelia triloba,AM,33.59316227,38.74644287,27.66039486
Adiantum capillus-veneris,AM,48.00088098,0,51.99911902
Adonis aestivalis,AM,12.23653094,0,87.76346906
Adonis vernalis,AM,11.2603386,69.88581828,18.85384311
Aegilops geniculata,AM,1.30723959,49.97052864,48.72223177
Aegiphila cephalophora,AM,42.20427035,29.93689043,27.85883923
Aegiphila elata,AM,55.20167658,34.77893022,10.0193932
Aegiphila panamensis,AM,48.20308114,21.43229527,30.36462359
Aegiphila pernambucensis,AM,56.65842789,41.28990667,2.051665445
Aegopodium podagraria,AM,65.13237656,13.52928965,21.33833379
Aesculus hippocastanum,AM,76.54896742,12.51633393,10.93469865
Aethusa cynapium,AM,55.60574622,9.305853171,35.08840061
Agave virginica,AM,17.27189274,82.72810726,0
Agoseris glauca,AM,34.43625814,4.561754879,61.00198698
Agrimonia eupatoria,AM,39.20213727,52.34104151,8.456821219
Agrimonia gryposepala,AM,14.23145985,72.92579108,12.84274907
Agrimonia procera,AM,54.24471979,29.85826622,15.89701399
Agrimonia pubescens,AM,43.09728419,45.77179466,11.13092115
Agropyron desertorum,AM,12.11830607,87.88169393,0
Agropyron junceum,AM,31.81399331,68.18600669,0
Elymus repens,AM,26.03185945,50.85117964,23.11696091
Poa nemoralis,AM,19.02726873,44.79246354,36.18026773
Agrostis alpina,AM,1.101159839,95.20540294,3.693437223
Agrostis canina,AM,4.460652349,41.75382207,53.78552558
Agrostis capillaris,AM,5.899033222,52.83144488,41.26952189
Agrostis gigantea,AM,12.74441202,35.30432049,51.95126749
Agrostis hyemalis,AM,4.940184979,79.25170696,15.80810806
Agrostis mertensii,AM,2.838017282,60.90697976,36.25500296
Agrostis rupestris,AM,1.872931989,83.4734496,14.65361841
Agrostis schraderiana,AM,8.714892623,60.65908836,30.62601901
Agrostis stolonifera,AM,11.39914494,46.70586353,41.89499153
Agrostis capillaris,AM,11.547777,49.32986765,39.12235535
Agrostis vinealis,AM,9.436324292,63.7524076,26.81126811
Aidia densiflora,AM,38.29610462,60.51260241,1.19129297
Ailanthus altissima,AM,74.92114119,21.32163465,3.757224161
Ajuga chamaepitys,AM,11.92217986,3.734668962,84.34315118
Ajuga genevensis,AM,26.1710179,0,73.8289821
Ajuga orientalis,AM,32.68464949,42.25601271,25.05933779
Ajuga pyramidalis,AM,27.19258379,41.1170263,31.69038992
Ajuga reptans,AM,23.84757138,16.86556434,59.28686428
Alangium ebenaceum,AM,49.71809153,50.28190847,0
Alcea rosea,AM,72.5084256,14.1688026,13.3227718
Alchemilla alpina,AM,15.16301605,66.94052704,17.89645691
Alchemilla caucasica,AM,17.27598978,68.70562726,14.01838297
Alchemilla glabra,AM,25.41835999,40.17327812,34.40836189
Alchemilla glaucescens,AM,32.76803078,42.39861274,24.83335647
Alchemilla mollis,AM,60.00533479,24.15458979,15.84007542
Alchemilla monticola,AM,42.57647091,33.67693771,23.74659138
Alchemilla pentaphyllea,AM,13.31714908,44.01561118,42.66723974
Alchemilla propinqua,AM,39.79879537,32.88512331,27.31608132
Alchemilla subcrenata,AM,41.00616198,27.84825881,31.14557922
Alchemilla subglobosa,AM,38.56312079,31.76336678,29.67351243
Alchemilla vulgaris,AM,37.15762721,38.98923439,23.8531384
Alchemilla xanthochlora,AM,56.32277703,20.10402097,23.573202
Alchornea costaricensis,AM,33.55599424,52.02767699,14.41632877
Alchornea latifolia,AM,47.81245171,35.29365331,16.89389498
Alibertia edulis,AM,36.81911946,48.46148791,14.71939263
Cordiera myrciifolia,AM,41.02157827,58.97842173,0
Allium carinatum,AM,39.89637707,0,60.10362293
Allium insubricum,AM,53.34720172,0,46.65279828
Allium paradoxum,AM,44.59988282,0,55.40011718
Allium senescens,AM,49.59793403,0,50.40206597
Allium sphaerocephalon,AM,39.95472627,0,60.04527373
Allium ursinum,AM,45.65813631,0,54.34186369
Allium vineale,AM,48.44886476,4.315725171,47.23541007
Allophylus edulis,AM,37.56529287,54.57580898,7.858898145
Allophylus psilospermus,AM,50.19818743,27.68424954,22.11756303
Alopecurus aequalis,AM,22.68246451,7.54171985,69.77581564
Alopecurus geniculatus,AM,13.09217631,27.34094102,59.56688268
Alopecurus pratensis,AM,11.88081617,58.77902193,29.34016189
Alphonsea maingayi,AM,30.52078248,60.05268545,9.42653207
Alseis blackiana,AM,52.07412854,28.76438457,19.16148689
Alseis pickelii,AM,51.21527727,28.43621791,20.34850482
Althaea officinalis,AM,49.04170045,17.49409647,33.46420308
Amaioua glomerulata,AM,49.48604677,40.89126636,9.622686872
Ambrosia artemisiifolia,AM,49.66357438,23.04219152,27.2942341
Ambrosia coronopifolia,AM,16.98089642,46.45028943,36.56881416
Ambrosia psilostachya,AM,15.89549574,61.33994452,22.76455974
Ambrosia trifida,AM,60.1355398,9.382525893,30.48193431
Amelanchier lamarckii,AM,26.40655207,67.0303355,6.563112427
Amelanchier ovalis,AM,16.23820758,64.73239344,19.02939898
Ammi majus,AM,6.462176061,0,93.53782394
Ammophila littoralis,AM,31.11948182,68.88051818,0
Amphilophium paniculatum,AM,53.21627996,28.52272597,18.26099407
Anacardium excelsum,AM,55.46839512,34.60870528,9.922899593
Anacardium occidentale,AM,50.4231648,49.5768352,0
