Name in CSR data set,Issue,Equivalent taxonomy in NCBI,Equivalent in Smith&Brown Tree,,,,,,,,
Achillea_cartilaginea,Unresolved,None,None,,,,,,,,
Aconitum_nasutum,Synonym,Aconitum variegatum subsp. nasutum,Aconitum_variegatum,,,,,,,,
Adiantum_capillus-veneris,Synonym,Adiantum capillus,None,,,,,,,,
Agave_virginica,Synonym,Manfreda virginica,Manfreda_virginica,,,,,,,,
Agoseris_glauca,Varietas,Agoseris glauca var. dasycephala,Agoseris_glauca_var._dasycephala,,,,,,,,
Agropyron_junceum,Unresolved,None,None,,,,,,,,
Ajuga_genevensis,Unresolved,None,None,,,,,,,,
Alangium_ebenaceum,Unresolved,None,None,,,,,,,,
Alchemilla_propinqua,Unresolved,None,None,,,,,,,,
Cordiera_myrciifolia,Synonym,Alibertia myrciifolia,Alibertia_myrciifolia,,,,,,,,
Allium_carinatum,Subspecies,Allium carinatum subsp. pulchellum,Allium_carinatum_subsp._pulchellum,,,,,,,,
Allium_senescens,Subspecies,3 subspecies,Allium_senescens_subsp._montanum,Allium_senescens_subsp._glaucum,Allium_senescens_subsp._senescens,,,,,,
Allium_ursinum,Subspecies,2 subspecies,Allium_ursinum_subsp._ucrainicum,Allium_ursinum_subsp._ursinum,,,,,,,
Ambrosia_coronopifolia,Unresolved,None,None,,,,,,,,
Ammophila_littoralis,Unresolved,None,None,,,,,,,,
Andropogon_gerardi,Equivalent,Andropogon gerardii,Andropogon_gerardii,,,,,,,,
Anemone_speciosa,Unresolved,None,None,,,,,,,,
Anthemis_cretica,Subspecies,6 subspecies,Anthemis_cretica_subsp._cretica,Anthemis_cretica_subsp._anatolica,Anthemis_cretica_subsp._gerardiana,Anthemis_cretica_subsp._sibthorpii,Anthemis_cretica_subsp._spruneri,Anthemis_cretica_subsp._argaea,,,
Archanthemis_marschalliana,Subspecies,1 subspecies,Archanthemis_marschalliana_subsp._pectinata,,,,,,,,
Cota_tinctoria,Subspecies,1 subspecies,Cota_tinctoria_subsp._subtinctoria,,,,,,,,
Anthriscus_nitida,Synonym,Anthriscus nitidus,Anthriscus_nitidus,,,,,,,,
Apeiba_membranacea,Unresolved,None,None,,,,,,,,
Aphanes_inexspectata,Typo,Aphanes inexpectata,Aphanes_inexpectata,,,,,,,,
Helosciadium_nodiflorumÂ ,Typo,Helosciadium nodiflorum,Helosciadium_nodiflorum,,,,,,,,
Aporosa_bracteosa,Unresolved,None,None,,,,,,,,
Appunia_seibertii,Unresolved,None,None,,,,,,,,
Aquilegia_braunerana,Synonym,Aquilegia einseleana,Aquilegia_einseleana,,,,,,,,
Aristida_dichotoma,Subspecies,1 subspecies,Aristida_dichotoma_var._curtissii,,,,,,,,
Fridericia_candicans,Unresolved,Arrabidaea candicans,None,,,,,,,,
Asclepias_tuberosa,Subspecies,3 subspecies,Asclepias_tuberosa_subsp._rolfsii,Asclepias_tuberosa_subsp._interior,,,,,,,
Aster_acuminatus,Unresolved,None,None,,,,,,,,
Aster_dumosus,Unresolved,None,None,,,,,,,,
Aster_laevis,Unresolved,None,None,,,,,,,,
Aster_sagittifolius,Unresolved,None,None,,,,,,,,
Tripolium_pannonicum_subsp._tripolium,Subspecies,1 subspecies,Tripolium_pannonicum,,,,,,,,
Astrantia_minor,Unresolved,None,None,,,,,,,,
